Reakcja;Dawka;Rodzaj;Miejsce
0;-3,204;0;0
0;-3,204;0;0
0;-3,204;0;0
0;-3,204;0;0
0;-3,204;0;0
0;-3,204;0;0
0;-3,204;0;0
0;-3,204;0;0
0;-3,204;0;0
0;-3,204;0;0
0;-3,204;0;1
0;-3,204;0;1
0;-3,204;0;1
1;-3,204;0;1
1;-3,204;0;1
0;-3,204;0;1
0;-3,204;0;1
0;-3,204;0;1
0;-3,204;0;1
0;-3,204;0;1
0;-3,204;1;0
0;-3,204;1;0
0;-3,204;1;0
0;-3,204;1;0
0;-3,204;1;0
0;-3,204;1;0
0;-3,204;1;0
0;-3,204;1;0
0;-3,204;1;0
0;-3,204;1;0
0;-3,204;1;1
0;-3,204;1;1
0;-3,204;1;1
0;-3,204;1;1
0;-3,204;1;1
0;-3,204;1;1
1;-3,204;1;1
0;-3,204;1;1
0;-3,204;1;1
0;-3,204;1;1
0;-2,903;0;0
0;-2,903;0;0
0;-2,903;0;0
0;-2,903;0;0
0;-2,903;0;0
0;-2,903;0;0
0;-2,903;0;0
0;-2,903;0;0
0;-2,903;0;0
0;-2,903;0;0
0;-2,903;0;1
1;-2,903;0;1
0;-2,903;0;1
0;-2,903;0;1
1;-2,903;0;1
0;-2,903;0;1
0;-2,903;0;1
0;-2,903;0;1
0;-2,903;0;1
1;-2,903;0;1
1;-2,903;1;0
0;-2,903;1;0
0;-2,903;1;0
0;-2,903;1;0
0;-2,903;1;0
0;-2,903;1;0
0;-2,903;1;0
0;-2,903;1;0
0;-2,903;1;0
0;-2,903;1;0
1;-2,903;1;1
0;-2,903;1;1
1;-2,903;1;1
1;-2,903;1;1
1;-2,903;1;1
0;-2,903;1;1
0;-2,903;1;1
0;-2,903;1;1
0;-2,903;1;1
0;-2,903;1;1
0;-2,602;0;0
0;-2,602;0;0
0;-2,602;0;0
0;-2,602;0;0
0;-2,602;0;0
0;-2,602;0;0
0;-2,602;0;0
1;-2,602;0;0
0;-2,602;0;0
0;-2,602;0;0
0;-2,602;0;1
1;-2,602;0;1
0;-2,602;0;1
0;-2,602;0;1
0;-2,602;0;1
0;-2,602;0;1
1;-2,602;0;1
0;-2,602;0;1
1;-2,602;0;1
0;-2,602;0;1
0;-2,602;1;0
0;-2,602;1;0
0;-2,602;1;0
1;-2,602;1;0
0;-2,602;1;0
0;-2,602;1;0
0;-2,602;1;0
0;-2,602;1;0
0;-2,602;1;0
0;-2,602;1;0
0;-2,602;1;1
0;-2,602;1;1
0;-2,602;1;1
1;-2,602;1;1
0;-2,602;1;1
1;-2,602;1;1
1;-2,602;1;1
0;-2,602;1;1
0;-2,602;1;1
0;-2,602;1;1
0;-2,301;0;0
1;-2,301;0;0
0;-2,301;0;0
0;-2,301;0;0
0;-2,301;0;0
1;-2,301;0;0
1;-2,301;0;0
0;-2,301;0;0
0;-2,301;0;0
0;-2,301;0;0
0;-2,301;0;1
0;-2,301;0;1
1;-2,301;0;1
0;-2,301;0;1
0;-2,301;0;1
1;-2,301;0;1
1;-2,301;0;1
1;-2,301;0;1
1;-2,301;0;1
1;-2,301;0;1
1;-2,301;1;0
0;-2,301;1;0
0;-2,301;1;0
0;-2,301;1;0
0;-2,301;1;0
0;-2,301;1;0
0;-2,301;1;0
0;-2,301;1;0
0;-2,301;1;0
1;-2,301;1;0
1;-2,301;1;1
0;-2,301;1;1
1;-2,301;1;1
0;-2,301;1;1
0;-2,301;1;1
0;-2,301;1;1
1;-2,301;1;1
1;-2,301;1;1
0;-2,301;1;1
0;-2,301;1;1
0;-2;0;0
0;-2;0;0
0;-2;0;0
1;-2;0;0
0;-2;0;0
0;-2;0;0
0;-2;0;0
0;-2;0;0
0;-2;0;0
0;-2;0;0
0;-2;0;1
1;-2;0;1
1;-2;0;1
1;-2;0;1
0;-2;0;1
0;-2;0;1
1;-2;0;1
0;-2;0;1
0;-2;0;1
1;-2;0;1
0;-2;1;0
1;-2;1;0
1;-2;1;0
1;-2;1;0
1;-2;1;0
0;-2;1;0
0;-2;1;0
1;-2;1;0
0;-2;1;0
0;-2;1;0
1;-2;1;1
1;-2;1;1
1;-2;1;1
1;-2;1;1
1;-2;1;1
1;-2;1;1
0;-2;1;1
1;-2;1;1
1;-2;1;1
0;-2;1;1
